batch,candidate_rank,density_group,domain,growth_stage,image_id,target_index,uncertainty,reliability,iou,localization_error,occlusion_ratio,selection_rank
949,11,50-60,KSU_1,Post-Flowering,950,56,0.4271450638771057,0.8342143297195435,0.5679789185523987,0.4320210814476013,0.05188679322600365,32
949,11,50-60,KSU_1,Post-Flowering,950,57,0.4174685478210449,0.8379700183868408,0.3884320557117462,0.6115679442882538,0.0,32
949,11,50-60,KSU_1,Post-Flowering,950,58,0.34885308146476746,0.8646013736724854,0.2585839331150055,0.7414160668849945,0.0,32
1322,50,80-100,UQ_7,Ripening,1323,0,0.2628544569015503,0.8979796171188354,0.9116951823234558,0.08830481767654419,0.1542082130908966,33
1322,50,80-100,UQ_7,Ripening,1323,1,0.38411808013916016,0.8509141802787781,0.8636072278022766,0.1363927721977234,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,2,0.40916305780410767,0.8411935567855835,0.56924968957901,0.43075031042099,0.8403890132904053,33
1322,50,80-100,UQ_7,Ripening,1323,3,0.44432568550109863,0.8275461196899414,0.604500949382782,0.395499050617218,1.225806474685669,33
1322,50,80-100,UQ_7,Ripening,1323,4,0.3273363411426544,0.8729525804519653,0.8113098740577698,0.18869012594223022,0.1973610371351242,33
1322,50,80-100,UQ_7,Ripening,1323,5,0.43463000655174255,0.8313091993331909,0.707815408706665,0.29218459129333496,1.0,33
1322,50,80-100,UQ_7,Ripening,1323,6,0.3493305742740631,0.8644161224365234,0.674781322479248,0.32521867752075195,0.0970967710018158,33
1322,50,80-100,UQ_7,Ripening,1323,7,0.48695868253707886,0.8109991550445557,0.4908754229545593,0.5091245770454407,0.07692307978868484,33
1322,50,80-100,UQ_7,Ripening,1323,8,0.34764236211776733,0.8650712966918945,0.820277988910675,0.17972201108932495,0.27206477522850037,33
1322,50,80-100,UQ_7,Ripening,1323,9,0.43141970038414,0.8325552344322205,0.43635138869285583,0.5636486113071442,0.05602716654539108,33
1322,50,80-100,UQ_7,Ripening,1323,10,0.34605109691619873,0.8656889200210571,0.7744215726852417,0.2255784273147583,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,11,0.30009153485298157,0.8835269808769226,0.7784334421157837,0.2215665578842163,0.008057490922510624,33
1322,50,80-100,UQ_7,Ripening,1323,12,0.2942041754722595,0.8858120441436768,0.7679625153541565,0.2320374846458435,0.3663446009159088,33
1322,50,80-100,UQ_7,Ripening,1323,13,0.42949968576431274,0.8333004117012024,0.7005907297134399,0.29940927028656006,0.04371584579348564,33
1322,50,80-100,UQ_7,Ripening,1323,14,0.4342515468597412,0.8314561247825623,0.3659507930278778,0.6340492069721222,0.036274511367082596,33
1322,50,80-100,UQ_7,Ripening,1323,15,0.4616348147392273,0.8208279609680176,0.8740167021751404,0.12598329782485962,0.2933333218097687,33
1322,50,80-100,UQ_7,Ripening,1323,16,0.4549008905887604,0.8234416246414185,0.7218225598335266,0.2781774401664734,0.03448275849223137,33
1322,50,80-100,UQ_7,Ripening,1323,17,0.4100189507007599,0.840861439704895,0.45741578936576843,0.5425842106342316,0.0729166641831398,33
1322,50,80-100,UQ_7,Ripening,1323,18,0.5031979084014893,0.8046963214874268,0.6966919302940369,0.30330806970596313,0.2102818489074707,33
1322,50,80-100,UQ_7,Ripening,1323,19,0.4024612307548523,0.8437947034835815,0.7398121953010559,0.2601878046989441,0.10125646740198135,33
1322,50,80-100,UQ_7,Ripening,1323,20,0.5078879594802856,0.8028759956359863,0.533367931842804,0.46663206815719604,0.057416267693042755,33
1322,50,80-100,UQ_7,Ripening,1323,21,0.3803865313529968,0.8523625135421753,0.594417154788971,0.40558284521102905,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,22,0.41434064507484436,0.839184045791626,0.8119775652885437,0.1880224347114563,0.2867513597011566,33
1322,50,80-100,UQ_7,Ripening,1323,23,0.4885188341140747,0.8103936314582825,0.6258769035339355,0.37412309646606445,0.11979648470878601,33
1322,50,80-100,UQ_7,Ripening,1323,24,0.3852807283401489,0.8504629135131836,0.7288802862167358,0.27111971378326416,0.06859070807695389,33
1322,50,80-100,UQ_7,Ripening,1323,25,0.2621431350708008,0.8982557058334351,0.8304840922355652,0.16951590776443481,0.013645224273204803,33
1322,50,80-100,UQ_7,Ripening,1323,26,0.3218570947647095,0.8750792145729065,0.5880435705184937,0.41195642948150635,0.01718403585255146,33
1322,50,80-100,UQ_7,Ripening,1323,27,0.3973143696784973,0.8457923531532288,0.599256157875061,0.40074384212493896,0.06958181411027908,33
1322,50,80-100,UQ_7,Ripening,1323,28,0.394268274307251,0.8469746112823486,0.7329538464546204,0.26704615354537964,0.34793588519096375,33
1322,50,80-100,UQ_7,Ripening,1323,29,0.30490997433662415,0.88165682554245,0.8574667572975159,0.14253324270248413,0.5575522184371948,33
1322,50,80-100,UQ_7,Ripening,1323,30,0.3217880129814148,0.8751060366630554,0.8978077173233032,0.10219228267669678,0.3024906516075134,33
1322,50,80-100,UQ_7,Ripening,1323,31,0.37293741106987,0.8552536368370056,0.7946310043334961,0.2053689956665039,0.032894738018512726,33
1322,50,80-100,UQ_7,Ripening,1323,32,0.3028934895992279,0.8824394941329956,0.5601236820220947,0.4398763179779053,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,33,0.3840322494506836,0.8509474992752075,0.7973560690879822,0.20264393091201782,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,34,0.4724254310131073,0.8166399002075195,0.18292829394340515,0.8170717060565948,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,35,0.40232622623443604,0.8438471555709839,0.6872002482414246,0.31279975175857544,0.004372428171336651,33
1322,50,80-100,UQ_7,Ripening,1323,36,0.3498060405254364,0.864231526851654,0.7651400566101074,0.23485994338989258,0.3126050531864166,33
1322,50,80-100,UQ_7,Ripening,1323,37,0.3586691617965698,0.8607915639877319,0.8521121144294739,0.14788788557052612,0.12915851175785065,33
1322,50,80-100,UQ_7,Ripening,1323,38,0.28335636854171753,0.8900222778320312,0.8710823655128479,0.1289176344871521,0.034017112106084824,33
1322,50,80-100,UQ_7,Ripening,1323,39,0.31642335653305054,0.8771882057189941,0.8231905698776245,0.1768094301223755,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,40,0.38670146465301514,0.8499115109443665,0.6885534524917603,0.31144654750823975,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,41,0.3188757300376892,0.8762363195419312,0.8418627381324768,0.1581372618675232,0.3076923191547394,33
1322,50,80-100,UQ_7,Ripening,1323,42,0.29992610216140747,0.8835911750793457,0.9248682856559753,0.07513171434402466,0.5052766799926758,33
1322,50,80-100,UQ_7,Ripening,1323,43,0.3192787170410156,0.8760799169540405,0.7996214628219604,0.20037853717803955,0.6360780596733093,33
1322,50,80-100,UQ_7,Ripening,1323,44,0.5123550295829773,0.8011422157287598,0.7560381293296814,0.2439618706703186,0.022018348798155785,33
1322,50,80-100,UQ_7,Ripening,1323,45,0.36470234394073486,0.8584499359130859,0.7091755270957947,0.2908244729042053,0.13428571820259094,33
1322,50,80-100,UQ_7,Ripening,1323,46,0.30443334579467773,0.881841778755188,0.8925380110740662,0.10746198892593384,0.11961722373962402,33
1322,50,80-100,UQ_7,Ripening,1323,47,0.3689233958721161,0.8568115830421448,0.5504794716835022,0.4495205283164978,0.6126482486724854,33
1322,50,80-100,UQ_7,Ripening,1323,48,0.37897688150405884,0.8529095649719238,0.0,1.0,0.4019014835357666,33
1322,50,80-100,UQ_7,Ripening,1323,49,0.3573589622974396,0.8613000512123108,0.7146213054656982,0.28537869453430176,0.024291498586535454,33
1322,50,80-100,UQ_7,Ripening,1323,50,0.34809523820877075,0.8648955225944519,0.7169986963272095,0.2830013036727905,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,51,0.3041214644908905,0.8819628357887268,0.7765896320343018,0.22341036796569824,0.0,33
1322,50,80-100,UQ_7,Ripening,1323,52,0.3780953586101532,0.8532516956329346,0.22105848789215088,0.7789415121078491,0.2432432472705841,33
